,Unnamed: 0,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
153,153,2019-11-01 00:00:01,view,4804295,2053013554658804075,electronics.audio.headphone,xiaomi,22.8,543653226,ab310b47-1eb2-45f8-8e5b-21ab2010925a
159,159,2019-11-01 00:00:01,view,1005116,2053013555631882655,electronics.smartphone,apple,1013.86,544896141,80a43be5-1e98-44ec-b60e-5c107c51c839
165,165,2019-11-01 00:00:01,view,1003869,2053013555631882655,electronics.smartphone,xiaomi,167.02,532572658,b1df0fce-6e03-47cc-b777-782b77b1b100
171,171,2019-11-01 00:00:01,view,29900072,2059484601444729123,,peda,900.92,540807712,49b11fc0-1c43-4987-8e5b-3f470d0a5276
177,177,2019-11-01 00:00:01,view,16900083,2053013558433677895,furniture.kitchen.table,brw,207.21,548719875,68bc6a85-ba5a-4688-a95f-bc506bcd1d40
183,183,2019-11-01 00:00:01,view,17300136,2053013553853497655,,montale,69.5,523085323,0110890b-96d6-4ae1-9c9b-4728a1dcfeba
189,189,2019-11-01 00:00:01,view,12300394,2053013556311359947,construction.tools.drill,,46.82,532704496,cf2c87cc-a4ea-4c98-add1-f916c68e86ca
195,195,2019-11-01 00:00:01,view,26402378,2053013563651392361,,sokolov,97.34,518045858,3a749cfc-b9e7-4ca8-9256-55456b37bc48
201,201,2019-11-01 00:00:01,view,5701331,2053013553970938175,auto.accessories.player,ams,221.37,566279704,efd58a11-6fbf-4aa2-86c1-aad172f32fac
207,207,2019-11-01 00:00:01,view,5801550,2053013553945772349,electronics.audio.subwoofer,alphard,38.61,551943550,9c5bc5aa-1b0a-48f9-963c-e04aa3163bbc
213,213,2019-11-01 00:00:01,view,34600119,2060981320581906480,,hycell,20.57,512416379,4dfe2c67-e537-4dc2-ae69-0b65263db091
219,219,2019-11-01 00:00:01,view,1004849,2053013555631882655,electronics.smartphone,huawei,946.73,566143627,aa610ab3-5c60-4551-8a2b-8c999dddf843
225,225,2019-11-01 00:00:01,view,47300163,2110937222638207897,,akvaton,72.61,518780843,aa806835-b14c-45af-9538-cd4d1849be3e
231,231,2019-11-01 00:00:01,view,1004870,2053013555631882655,electronics.smartphone,samsung,275.25,518956209,6764041a-9285-4869-8a32-a79adf31d212
237,237,2019-11-01 00:00:01,view,16800592,2053013558316237377,furniture.kitchen.table,komfort-s,39.36,529388957,f6835635-57e4-45f7-97e7-383abc59c152
243,243,2019-11-01 00:00:01,view,5701221,2053013553970938175,auto.accessories.player,,303.71,560800759,23feeef9-cfa1-47cd-964e-af10396e3eeb
249,249,2019-11-01 00:00:01,view,57300037,2173216765583032544,apparel.shirt,jordan,102.71,545220871,f278cca0-e0f6-49a3-819a-d961998282d5
255,255,2019-11-01 00:00:01,view,15900065,2053013558190408249,,rondell,30.86,518574284,5e6ef132-4d7c-4730-8c7f-85aa4082588f
261,261,2019-11-01 00:00:01,view,9200640,2053013552913973497,computers.peripherals.keyboard,defender,16.41,553074032,7f622e70-68f0-4995-ae4c-edf9ae7078bb
267,267,2019-11-01 00:00:01,view,40900003,2127425434894205468,construction.tools.painting,fubag,13.0,513998949,a7b196d9-afe5-4dc8-9648-d578fef55abf
273,273,2019-11-01 00:00:01,view,1005123,2053013555631882655,electronics.smartphone,apple,1189.19,531148230,0099d475-0738-4fa7-befa-540ced85c256
279,279,2019-11-01 00:00:01,view,1004877,2053013555631882655,electronics.smartphone,xiaomi,84.65,528269305,6dce75d2-e455-4e52-ab65-af16e36f64cb
285,285,2019-11-01 00:00:02,view,1004258,2053013555631882655,electronics.smartphone,apple,732.07,532647354,d2d3d2c6-631d-489e-9fb5-06f340b85be0
291,291,2019-11-01 00:00:02,view,1004877,2053013555631882655,electronics.smartphone,xiaomi,84.65,516826105,55d5be8e-8a4f-4691-b192-93c9193e3b1d
297,297,2019-11-01 00:00:02,view,26300081,2053013563584283495,,lucente,437.85,541851324,bd3d2542-e845-48be-989a-0c9bc5ce1bea
303,303,2019-11-01 00:00:02,view,38500325,2080463777567867259,,eveline,1.42,515849878,31e80b9c-e5b3-437b-9112-c2a110e5c38a
309,309,2019-11-01 00:00:02,view,22700413,2053013556168753601,,stanley,34.13,553835251,f39ec76d-1edc-48ba-833f-c4c234b2fd9d
315,315,2019-11-01 00:00:02,view,1307444,2053013558920217191,computers.notebook,asus,424.7,520772685,816a59f3-f5ae-4ccd-9b23-82aa8c23d33c
321,321,2019-11-01 00:00:02,view,26800053,2053013564641248165,,xiaomi,592.03,566281062,6e5a21aa-7777-41e5-be50-e65a1aaa85d0
327,327,2019-11-01 00:00:02,view,1303355,2053013558920217191,computers.notebook,hp,432.42,514028527,df8184cc-3694-4549-8c8c-6b5171877376
333,333,2019-11-01 00:00:02,view,1002524,2053013555631882655,electronics.smartphone,apple,531.26,549256216,dcbdc6e4-cd49-4ee8-95c5-e85f3c618fa1
339,339,2019-11-01 00:00:02,view,1004856,2053013555631882655,electronics.smartphone,samsung,128.42,552158913,3489c69c-4a48-4884-8a80-9fc5107e9d0a
345,345,2019-11-01 00:00:02,view,12705975,2053013553559896355,,yokohama,97.81,540806126,c6427af1-9383-44e2-b39e-c0149646a39a
351,351,2019-11-01 00:00:02,view,1004775,2053013555631882655,electronics.smartphone,xiaomi,183.27,558856683,313628f1-68b8-460d-84f6-cec7a8796ef2
357,357,2019-11-01 00:00:02,view,26600715,2053013563450065759,,trollbeads,60.23,517100968,f18bdf17-fef4-4b39-a569-fe942ee969f3
363,363,2019-11-01 00:00:02,view,10301494,2053013553115300101,,welly,5.77,566281131,4acd7aef-e833-4fcb-927a-5f0a5c6a3225
369,369,2019-11-01 00:00:02,view,58000000,2156718775112565355,,bts,188.65,515764001,57d79510-85e9-4dcd-b0c6-96d9befb3cd9
375,375,2019-11-01 00:00:02,view,10301494,2053013553115300101,,welly,5.77,559975008,99a0ff5f-ebb7-4326-98d2-7817f79c60ec
381,381,2019-11-01 00:00:02,view,16900119,2053013558433677895,furniture.kitchen.table,,57.38,548523725,9f4e068b-d942-40c1-879f-e0de101e6157
387,387,2019-11-01 00:00:02,view,1005195,2053013555631882655,electronics.smartphone,xiaomi,111.56,558343854,24b6bed4-c3a3-403c-81d6-acc398f5bb8b
393,393,2019-11-01 00:00:02,view,12703494,2053013553559896355,,cordiant,41.19,554673298,74bb4345-f708-42ca-827f-18541fe106d3
399,399,2019-11-01 00:00:02,view,3701153,2053013565983425517,appliances.environment.vacuum,arnica,192.8,566278257,5cafe67a-3c46-4b47-a46a-ab30de4356bc
405,405,2019-11-01 00:00:02,view,4600355,2053013563944993659,appliances.kitchen.dishwasher,gorenje,498.64,526595547,aab33a9a-29c3-4d50-84c1-8a2bc9256104
411,411,2019-11-01 00:00:02,view,13600068,2053013557477376525,furniture.bathroom.bath,cersanit,111.46,518656487,a4fa3765-f630-436d-804d-cf768cee37de
417,417,2019-11-01 00:00:02,view,12500527,2053013556277805513,,crown,46.33,532704496,cf2c87cc-a4ea-4c98-add1-f916c68e86ca
423,423,2019-11-01 00:00:02,view,29100090,2053013565941482475,appliances.personal.massager,masstone,13.9,566175330,680fb144-6940-4931-85e6-16dda8d4e2d5
429,429,2019-11-01 00:00:02,view,26400196,2053013563651392361,,,404.13,533351761,6229f7bc-7440-44dc-8768-d924071fb879
435,435,2019-11-01 00:00:02,view,1004720,2053013555631882655,electronics.smartphone,huawei,125.61,566031393,8fbc7d60-6ae5-41c9-985c-cee9c52ab9ae
441,441,2019-11-01 00:00:02,view,26403281,2053013563651392361,,,142.86,512887245,f48492eb-b354-4d0b-a6c8-796e2fb04962
447,447,2019-11-01 00:00:03,view,58900003,2159649186167915110,,zubr,14.16,548804259,d8a4a956-1d7a-4ae8-95f1-605402901cef
453,453,2019-11-01 00:00:03,view,3901174,2053013552326770905,appliances.environment.water_heater,oasis,32.66,513200477,742aba02-727b-4d15-9222-6484ac846173
459,459,2019-11-01 00:00:03,view,58000000,2156718775112565355,,bts,188.65,515764001,57d79510-85e9-4dcd-b0c6-96d9befb3cd9
465,465,2019-11-01 00:00:03,view,2601816,2053013563970159485,,gorenje,592.01,549697474,c232e29c-6b18-47cb-a9aa-0be40128f889
471,471,2019-11-01 00:00:03,view,15900952,2053013558190408249,,inhouse,25.71,518574284,5e6ef132-4d7c-4730-8c7f-85aa4082588f
477,477,2019-11-01 00:00:03,view,6700484,2053013554247762257,computers.components.videocards,palit,141.32,545157048,c7e2474c-5059-4dc4-babf-d76753440df9
483,483,2019-11-01 00:00:03,view,18000622,2053013558525952589,,iwalk,10.37,518782231,1dc25bb6-4c9a-468f-9e33-c24492b1ba33
489,489,2019-11-01 00:00:03,view,3900776,2053013552326770905,appliances.environment.water_heater,artel,85.82,546785232,779aacbc-349e-4016-8959-da2e161dc334
495,495,2019-11-01 00:00:03,view,26403348,2053013563651392361,,,84.43,561564372,3dc250b7-9bd1-4c96-a365-0bf42e4cf2ad
501,501,2019-11-01 00:00:03,view,3600700,2053013563810775923,appliances.kitchen.washer,hotpoint-ariston,307.58,565083463,7cd1796c-49c8-bd17-db04-240bb8ca5b21
507,507,2019-11-01 00:00:03,view,21406912,2053013561579406073,electronics.clocks,tissot,854.59,513118352,4c14bf2a-2820-4504-929d-046356a5a204
513,513,2019-11-01 00:00:03,view,1004767,2053013555631882655,electronics.smartphone,samsung,242.63,566279874,c14d7536-61b6-481c-9a6c-9ff2c21795ce
519,519,2019-11-01 00:00:03,view,26404678,2053013563651392361,,,121.75,512887245,f48492eb-b354-4d0b-a6c8-796e2fb04962
