,Unnamed: 0,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
152,152,2019-11-01 00:00:01,view,5000088,2053013566100866035,appliances.sewing_machine,janome,293.65,550437059,06748e12-e59a-4111-b5bb-978618c6156d
158,158,2019-11-01 00:00:01,view,1004856,2053013555631882655,electronics.smartphone,samsung,128.42,518398361,282cd4e9-b89a-42c2-b04d-0ffdd119d3c3
164,164,2019-11-01 00:00:01,view,53900036,2144916515806248980,construction.tools.saw,dwt,48.35,565386300,87fa5d96-59bd-465c-87fb-8aac39baa571
170,170,2019-11-01 00:00:01,view,16700384,2053013559901684381,furniture.kitchen.chair,,36.78,566255262,173d7b72-1db7-4638-8207-be8148bf3c9f
176,176,2019-11-01 00:00:01,view,5701331,2053013553970938175,auto.accessories.player,ams,221.37,566279704,efd58a11-6fbf-4aa2-86c1-aad172f32fac
182,182,2019-11-01 00:00:01,view,13200605,2053013557192163841,furniture.bedroom.bed,,566.3,559368633,d6034fa2-41fb-4ac0-9051-55ea9fc9147a
188,188,2019-11-01 00:00:01,view,1004748,2053013555631882655,electronics.smartphone,huawei,127.33,566143627,aa610ab3-5c60-4551-8a2b-8c999dddf843
194,194,2019-11-01 00:00:01,view,21400135,2053013561579406073,electronics.clocks,casio,165.26,565921426,f7ad8fc9-15ee-4c4d-bfda-1f80311d24bf
200,200,2019-11-01 00:00:01,view,17300435,2053013553853497655,,,397.54,513216715,d1298cdd-bf1f-42c3-8444-377cf01f734d
206,206,2019-11-01 00:00:01,view,5100855,2053013553341792533,electronics.clocks,apple,552.14,514314020,a44ac748-76ec-479b-9415-6dbfaaede28e
212,212,2019-11-01 00:00:01,view,41100033,2090228413959766319,,brw,72.07,562234311,4cbd502f-b1df-4bcf-a1cb-78bb18c37e70
218,218,2019-11-01 00:00:01,view,1002528,2053013555631882655,electronics.smartphone,apple,617.52,549256216,dcbdc6e4-cd49-4ee8-95c5-e85f3c618fa1
224,224,2019-11-01 00:00:01,view,4100249,2053013561218695907,,sony,583.8,551977964,2058fb5d-047d-46a9-913f-b3b62f3b697c
230,230,2019-11-01 00:00:01,view,25300505,2053013561982059281,,,9.5,542114719,9c6fd4d1-193a-42a4-ba49-a9f5468d0957
236,236,2019-11-01 00:00:01,view,12703015,2053013553559896355,,cordiant,42.99,532364121,0a899268-31eb-46de-898d-09b2da950b24
242,242,2019-11-01 00:00:01,view,1005008,2053013555631882655,electronics.smartphone,xiaomi,94.46,540866394,748b77d6-f17f-4a2a-a5d1-f3627479bcb0
248,248,2019-11-01 00:00:01,view,10300835,2053013553115300101,,silverlit,7.18,566281047,1eb9190b-a59e-4523-956a-73bc6ab9b057
254,254,2019-11-01 00:00:01,view,30000054,2127425436764865054,construction.tools.welding,,100.36,532704496,cf2c87cc-a4ea-4c98-add1-f916c68e86ca
260,260,2019-11-01 00:00:01,view,26400273,2053013563651392361,,lucente,224.46,561564372,3dc250b7-9bd1-4c96-a365-0bf42e4cf2ad
266,266,2019-11-01 00:00:01,view,16000004,2053013558223962683,,rondell,43.73,535740098,192fa069-e375-4b7e-8a9f-c19e522691b9
272,272,2019-11-01 00:00:01,view,1002974,2053013555631882655,electronics.smartphone,huawei,149.3,566143627,aa610ab3-5c60-4551-8a2b-8c999dddf843
278,278,2019-11-01 00:00:01,view,26800025,2053013564641248165,,hygge,574.02,566281062,6e5a21aa-7777-41e5-be50-e65a1aaa85d0
284,284,2019-11-01 00:00:01,view,26012925,2053013562753811257,,,8.55,552849950,c289b572-9ad2-4806-bd60-420a77008720
290,290,2019-11-01 00:00:02,view,1004873,2053013555631882655,electronics.smartphone,samsung,362.29,524356542,2f44a6ff-59aa-458c-acef-aee764d2ce10
296,296,2019-11-01 00:00:02,view,53900024,2144916515806248980,construction.tools.saw,dwt,66.36,565386300,87fa5d96-59bd-465c-87fb-8aac39baa571
302,302,2019-11-01 00:00:02,view,3600163,2053013563810775923,appliances.kitchen.washer,indesit,177.27,543653226,ab310b47-1eb2-45f8-8e5b-21ab2010925a
308,308,2019-11-01 00:00:02,view,55000001,2146551843914777018,apparel.costume,,127.36,545220871,f278cca0-e0f6-49a3-819a-d961998282d5
314,314,2019-11-01 00:00:02,view,1307056,2053013558920217191,computers.notebook,apple,1338.5,530857208,c69f9c63-7098-426c-97d9-8cb94a0a1083
320,320,2019-11-01 00:00:02,view,1004708,2053013555631882655,electronics.smartphone,huawei,151.99,566031393,8fbc7d60-6ae5-41c9-985c-cee9c52ab9ae
326,326,2019-11-01 00:00:02,view,15700146,2053013559733912211,,,83.37,566280815,5a33837a-279c-4b4f-8905-63a264122145
332,332,2019-11-01 00:00:02,view,5100566,2053013553341792533,electronics.clocks,apple,453.16,514877985,1746686f-822b-485d-9b2f-b24e8ec8b7ea
338,338,2019-11-01 00:00:02,view,45602174,2116907524572577889,apparel.shoes,garvalin,35.26,526996709,bd8f1103-1001-4b69-9106-da32f2c62653
344,344,2019-11-01 00:00:02,view,1005195,2053013555631882655,electronics.smartphone,xiaomi,111.56,558343854,24b6bed4-c3a3-403c-81d6-acc398f5bb8b
350,350,2019-11-01 00:00:02,view,2200906,2053013560555995845,,canon,306.15,517811633,97dc1638-90ea-450a-8499-a31fd8f2e9b1
356,356,2019-11-01 00:00:02,view,16700656,2053013559901684381,furniture.kitchen.chair,domini,30.89,546273062,0bed87a3-7bce-4222-ba0d-314316dca5f8
362,362,2019-11-01 00:00:02,view,28715777,2053013565228450757,apparel.shoes,nexpero,75.42,518621750,6d7138cd-b28a-4f0b-9238-ec30453316d7
368,368,2019-11-01 00:00:02,view,2401742,2053013563743667055,appliances.kitchen.hood,midea,128.68,515761354,b2da6f0a-6eeb-4502-b62e-dd3b4ce97ad1
374,374,2019-11-01 00:00:02,view,12712611,2053013553559896355,,,29.09,519041881,050723d8-52b8-42c8-8569-6ec99f32d15a
380,380,2019-11-01 00:00:02,view,10301494,2053013553115300101,,welly,5.77,542346595,75c35801-ce60-44b7-99d1-838ae6fbc97c
386,386,2019-11-01 00:00:02,view,6500862,2053013554155487563,computers.components.motherboard,asrock,54.57,563976016,20cce19e-edef-4ad4-9e0c-4b3fa1f021b8
392,392,2019-11-01 00:00:02,view,15700074,2053013559733912211,,,220.06,538926042,740fc7c0-cd24-4d31-996e-f79781716a2e
398,398,2019-11-01 00:00:02,view,1004258,2053013555631882655,electronics.smartphone,apple,732.07,532647354,d2d3d2c6-631d-489e-9fb5-06f340b85be0
404,404,2019-11-01 00:00:02,view,3600700,2053013563810775923,appliances.kitchen.washer,hotpoint-ariston,307.58,565083463,7cd1796c-49c8-bd17-db04-240bb8ca5b21
410,410,2019-11-01 00:00:02,view,16700584,2053013559901684381,furniture.kitchen.chair,barneo,33.21,546273062,0bed87a3-7bce-4222-ba0d-314316dca5f8
416,416,2019-11-01 00:00:02,view,1003898,2053013555631882655,electronics.smartphone,oneplus,540.3,520088904,4d3b30da-a5e4-49df-b1a8-ba5943f1dd33
422,422,2019-11-01 00:00:02,view,1307435,2053013558920217191,computers.notebook,lenovo,449.95,520772685,816a59f3-f5ae-4ccd-9b23-82aa8c23d33c
428,428,2019-11-01 00:00:02,view,1005243,2053013555631882655,electronics.smartphone,vivo,463.31,565426063,fde83171-4dd2-4742-b371-0723c2299cea
434,434,2019-11-01 00:00:02,view,1005135,2053013555631882655,electronics.smartphone,apple,1665.36,562210838,a58d94c8-c0d4-4f24-bf3c-04c4e69ea153
440,440,2019-11-01 00:00:02,view,12703498,2053013553559896355,,cordiant,40.93,566281183,25d27258-06d5-407b-9be4-b81c149705e5
446,446,2019-11-01 00:00:03,view,1304409,2053013558920217191,computers.notebook,apple,1402.87,514171705,b937acaa-d00f-456f-a4cf-1b761b31d867
452,452,2019-11-01 00:00:03,view,22100059,2053013561302581993,,,146.7,512416379,4dfe2c67-e537-4dc2-ae69-0b65263db091
458,458,2019-11-01 00:00:03,view,42300030,2095518921321874323,furniture.living_room.cabinet,,257.15,562234311,4cbd502f-b1df-4bcf-a1cb-78bb18c37e70
464,464,2019-11-01 00:00:03,view,26403394,2053013563651392361,,,51.22,518045858,3a749cfc-b9e7-4ca8-9256-55456b37bc48
470,470,2019-11-01 00:00:03,view,12702597,2053013553559896355,,continental,108.75,526188048,848ba5fa-7758-40f8-9b2a-b064a7be9e0b
476,476,2019-11-01 00:00:03,view,26404669,2053013563651392361,,,152.9,512887245,f48492eb-b354-4d0b-a6c8-796e2fb04962
482,482,2019-11-01 00:00:03,view,2701306,2053013563911439225,appliances.kitchen.refrigerators,samsung,514.78,513172380,071a6b99-8a1e-48cf-8816-b6ff3f2c38cd
488,488,2019-11-01 00:00:03,view,26300729,2053013563424899933,,,302.41,556205208,d773313a-439f-4734-af83-d98507771344
494,494,2019-11-01 00:00:03,view,1004795,2053013555631882655,electronics.smartphone,xiaomi,218.54,513198013,5f5e7618-afc5-41c9-abaf-dde70dd8dd50
500,500,2019-11-01 00:00:03,view,1005204,2053013555631882655,electronics.smartphone,xiaomi,150.97,558343854,24b6bed4-c3a3-403c-81d6-acc398f5bb8b
506,506,2019-11-01 00:00:03,view,1004434,2053013555631882655,electronics.smartphone,samsung,313.78,566281189,c34b1200-a257-4c22-8b5d-29b714d44a0a
512,512,2019-11-01 00:00:03,view,1005105,2053013555631882655,electronics.smartphone,apple,1348.61,566281229,0fa56d83-3069-4b96-8dbe-3a13f06c6afd
518,518,2019-11-01 00:00:03,view,2401540,2053013563743667055,appliances.kitchen.hood,midea,167.29,515761354,b2da6f0a-6eeb-4502-b62e-dd3b4ce97ad1
524,524,2019-11-01 00:00:03,view,1005105,2053013555631882655,electronics.smartphone,apple,1348.61,566281229,0fa56d83-3069-4b96-8dbe-3a13f06c6afd
530,530,2019-11-01 00:00:03,view,57100003,2152289023127715889,,novline,21.11,529707266,3c119344-1965-48e9-8fe0-90edf88c2eb1
536,536,2019-11-01 00:00:03,view,17000107,2053013558391734853,computers.desktop,sv,195.35,548719875,68bc6a85-ba5a-4688-a95f-bc506bcd1d40
542,542,2019-11-01 00:00:03,view,14701857,2053013557133443581,furniture.living_room.cabinet,,100.62,553810426,fbfa1599-912b-4d6a-8749-49a2ab78cdd7
548,548,2019-11-01 00:00:03,view,1801343,2053013554415534427,electronics.video.tv,toshiba,370.67,514035946,15895da2-d040-4b2c-b9a6-d1820239dbc5
554,554,2019-11-01 00:00:03,view,26300686,2053013563424899933,,,294.01,556205208,d773313a-439f-4734-af83-d98507771344
560,560,2019-11-01 00:00:03,view,1005204,2053013555631882655,electronics.smartphone,xiaomi,150.97,558343854,24b6bed4-c3a3-403c-81d6-acc398f5bb8b
566,566,2019-11-01 00:00:03,view,12201347,2116907525176557699,sport.bicycle,phoenix,179.89,566281255,bb6dc267-92e5-40c1-b279-a9eb3dd16b61
572,572,2019-11-01 00:00:03,view,26026982,2053013562837697343,,,6.04,552849950,c289b572-9ad2-4806-bd60-420a77008720
578,578,2019-11-01 00:00:03,view,1005157,2053013555631882655,electronics.smartphone,xiaomi,269.78,513198013,5f5e7618-afc5-41c9-abaf-dde70dd8dd50
584,584,2019-11-01 00:00:03,view,1004250,2053013555631882655,electronics.smartphone,apple,787.5,562210838,a58d94c8-c0d4-4f24-bf3c-04c4e69ea153
590,590,2019-11-01 00:00:04,view,21411808,2053013561579406073,electronics.clocks,tissot,1050.22,513118352,4c14bf2a-2820-4504-929d-046356a5a204
596,596,2019-11-01 00:00:04,view,12705928,2053013553559896355,,bfgoodrich,139.58,542985695,2ec95ba2-fd6a-43ea-8aac-84a23e807ed6
602,602,2019-11-01 00:00:04,view,3600700,2053013563810775923,appliances.kitchen.washer,hotpoint-ariston,307.58,565083463,7cd1796c-49c8-bd17-db04-240bb8ca5b21
608,608,2019-11-01 00:00:04,view,12705003,2053013553559896355,,cordiant,40.93,550193582,6b4de9ac-76e5-e412-eb8e-b42dea7cfb24
614,614,2019-11-01 00:00:04,view,1004347,2053013555631882655,electronics.smartphone,meizu,123.53,566281281,cd2ae431-0a1a-4c10-8a48-dbe00f059c21
620,620,2019-11-01 00:00:04,view,18100040,2053013557955527211,,tarkett,23.95,551078379,57dc2a56-6557-40c0-93b5-b4c7071d3866
626,626,2019-11-01 00:00:04,view,1005014,2053013555631882655,electronics.smartphone,samsung,503.09,552158913,3489c69c-4a48-4884-8a80-9fc5107e9d0a
632,632,2019-11-01 00:00:04,view,1005186,2053013555631882655,electronics.smartphone,samsung,771.94,524356542,2f44a6ff-59aa-458c-acef-aee764d2ce10
638,638,2019-11-01 00:00:04,view,29100011,2053013565941482475,appliances.personal.massager,gezatone,30.12,566175330,680fb144-6940-4931-85e6-16dda8d4e2d5
644,644,2019-11-01 00:00:04,view,22700448,2053013556168753601,,,60.49,553835251,f39ec76d-1edc-48ba-833f-c4c234b2fd9d
650,650,2019-11-01 00:00:04,view,3900821,2053013552326770905,appliances.environment.water_heater,aqua,30.61,513200477,742aba02-727b-4d15-9222-6484ac846173
656,656,2019-11-01 00:00:04,view,12714718,2053013553559896355,,kormoran,70.79,565596995,7207de47-b6e7-4957-9f2e-0ec8c7067154
662,662,2019-11-01 00:00:04,view,15100189,2053013557024391671,,,1439.16,518001730,2a0ecdca-256f-4917-bfae-c7cbcea513a3
668,668,2019-11-01 00:00:04,view,28717498,2053013565127787455,apparel.shoes,respect,64.61,545220871,fa5820b7-d974-4a8f-9b84-51d9e1aa5dd3
674,674,2019-11-01 00:00:04,view,1004788,2053013555631882655,electronics.smartphone,xiaomi,138.71,515998531,6f4136a7-a02e-40cb-a432-9c1663e56c34
680,680,2019-11-01 00:00:04,view,2602014,2053013563970159485,,bosch,630.39,554431806,507b6986-1cc3-4773-9257-e9db4959090e
686,686,2019-11-01 00:00:04,view,1004574,2053013555631882655,electronics.smartphone,samsung,563.7,521543283,c551227f-2b82-462d-97fd-55eb063d8584
692,692,2019-11-01 00:00:04,view,26403320,2053013563651392361,,,328.97,533351761,6229f7bc-7440-44dc-8768-d924071fb879
698,698,2019-11-01 00:00:04,view,17301725,2053013553853497655,,,14.47,561587266,755422e7-9040-477b-9bd2-6a6e8fd97387
704,704,2019-11-01 00:00:04,view,13200019,2053013557192163841,furniture.bedroom.bed,sv,386.37,560134869,a48a30b6-61b5-4816-8fe6-d9e69b65aed4
710,710,2019-11-01 00:00:04,view,1801739,2053013554415534427,electronics.video.tv,samsung,282.03,541781462,a4f2f6a4-2e0c-7195-0240-659fbb5a6534
716,716,2019-11-01 00:00:04,view,12711601,2053013553559896355,,triangle,74.65,512376444,f7e8ffaa-5103-47f3-90ab-c30f313770c0
722,722,2019-11-01 00:00:04,view,1005100,2053013555631882655,electronics.smartphone,samsung,139.68,512458378,7f344445-80ce-4b09-89b2-c6d701686a1b
