,Unnamed: 0,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
154,154,2019-11-01 00:00:01,view,1600587,2053013553056579841,computers.peripherals.printer,epson,203.84,552249856,ebfe62dd-197a-4696-9344-75b4d15f43a0
160,160,2019-11-01 00:00:01,view,4600541,2053013563944993659,appliances.kitchen.dishwasher,beko,298.16,527322328,5054190a-46cb-4211-a8f1-16fc1a060ed8
166,166,2019-11-01 00:00:01,view,38900011,2085718636156158307,,,40.93,515764001,57d79510-85e9-4dcd-b0c6-96d9befb3cd9
172,172,2019-11-01 00:00:01,view,1305977,2053013558920217191,computers.notebook,apple,2496.59,530857208,c69f9c63-7098-426c-97d9-8cb94a0a1083
178,178,2019-11-01 00:00:01,view,26204072,2053013563693335403,,,277.23,516754459,1784d609-b568-44d0-829c-1acf363fd99d
184,184,2019-11-01 00:00:01,view,45601414,2116907524572577889,apparel.shoes,pablosky,65.38,526996709,bd8f1103-1001-4b69-9106-da32f2c62653
190,190,2019-11-01 00:00:01,view,42900023,2098563450757186313,construction.tools.light,stanley,29.86,512651494,f603c815-f51a-46fe-9404-cb586e35edaf
196,196,2019-11-01 00:00:01,view,13200605,2053013557192163841,furniture.bedroom.bed,,566.3,559368633,d6034fa2-41fb-4ac0-9051-55ea9fc9147a
202,202,2019-11-01 00:00:01,view,1004775,2053013555631882655,electronics.smartphone,xiaomi,183.27,558856683,313628f1-68b8-460d-84f6-cec7a8796ef2
208,208,2019-11-01 00:00:01,view,4804420,2053013554658804075,electronics.audio.headphone,hp,67.84,566280399,63dd0460-2ee7-4df3-a0b0-17d78f3029a2
214,214,2019-11-01 00:00:01,view,12705151,2053013553559896355,,cordiant,51.22,550193582,6b4de9ac-76e5-e412-eb8e-b42dea7cfb24
220,220,2019-11-01 00:00:01,view,1004767,2053013555631882655,electronics.smartphone,samsung,242.63,520200322,4f8ae560-9145-4735-b0f6-bf5ec69b3926
226,226,2019-11-01 00:00:01,view,1005239,2053013555631882655,electronics.smartphone,xiaomi,280.57,513198013,5f5e7618-afc5-41c9-abaf-dde70dd8dd50
232,232,2019-11-01 00:00:01,view,15700165,2053013559733912211,,imperial,312.21,566280815,5a33837a-279c-4b4f-8905-63a264122145
238,238,2019-11-01 00:00:01,view,3900776,2053013552326770905,appliances.environment.water_heater,artel,85.82,546785232,779aacbc-349e-4016-8959-da2e161dc334
244,244,2019-11-01 00:00:01,view,42900023,2098563450757186313,construction.tools.light,stanley,29.86,512651494,f603c815-f51a-46fe-9404-cb586e35edaf
250,250,2019-11-01 00:00:01,view,13300159,2053013557166998015,,swisshome,100.39,517399020,1cffc608-9a32-4f7a-ac63-ae34b73f4baf
