,Unnamed: 0,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
155,155,2019-11-01 00:00:01,view,17301421,2053013553853497655,,givenchy,77.22,561587266,755422e7-9040-477b-9bd2-6a6e8fd97387
161,161,2019-11-01 00:00:01,view,41100050,2090228413959766319,,brw,84.69,562234311,4cbd502f-b1df-4bcf-a1cb-78bb18c37e70
167,167,2019-11-01 00:00:01,view,13100745,2053013553526341921,,skad,177.1,531968973,db237ad5-149f-4019-8533-67b61dca4bf9
173,173,2019-11-01 00:00:01,view,2702611,2053013563911439225,appliances.kitchen.refrigerators,arg,128.68,559215873,26ca9bd8-21bd-47b9-b227-b6a083bde2a7
179,179,2019-11-01 00:00:01,view,12701967,2053013553559896355,,cordiant,32.18,542985695,2ec95ba2-fd6a-43ea-8aac-84a23e807ed6
185,185,2019-11-01 00:00:01,view,12708306,2053013553559896355,,,30.43,519041881,050723d8-52b8-42c8-8569-6ec99f32d15a
191,191,2019-11-01 00:00:01,view,34800573,2062461754293617058,,carfashion,65.64,529707266,3c119344-1965-48e9-8fe0-90edf88c2eb1
197,197,2019-11-01 00:00:01,view,57300036,2173216765583032544,apparel.shirt,jordan,102.71,545220871,f278cca0-e0f6-49a3-819a-d961998282d5
203,203,2019-11-01 00:00:01,view,1303355,2053013558920217191,computers.notebook,hp,432.42,514028527,df8184cc-3694-4549-8c8c-6b5171877376
209,209,2019-11-01 00:00:01,view,1304315,2053013558920217191,computers.notebook,apple,2311.49,530857208,c69f9c63-7098-426c-97d9-8cb94a0a1083
215,215,2019-11-01 00:00:01,view,15700204,2053013559733912211,,sv,257.15,542317384,db6469ca-51fa-45b8-a3cd-d1320005d955
221,221,2019-11-01 00:00:01,view,12704750,2053013553559896355,,nokian,180.44,513726400,db621522-4ce9-457c-b945-976775ca5389
227,227,2019-11-01 00:00:01,view,2701659,2053013563911439225,appliances.kitchen.refrigerators,bosch,450.44,513172380,071a6b99-8a1e-48cf-8816-b6ff3f2c38cd
233,233,2019-11-01 00:00:01,view,42200085,2095518917320508073,,,33.98,515474976,222c370b-0fac-4287-982b-e340f5eaf3a1
239,239,2019-11-01 00:00:01,view,1307519,2053013558920217191,computers.notebook,acer,1209.55,536638900,e1e8125d-da26-49ee-a6fa-78b3ff8dc341
